iter	Passed	Remaining
1343	18582	119678
1344	18593	119650
1345	18607	119632
1346	18620	119616
1347	18634	119605
1348	18647	119584
1349	18657	119549
1350	18673	119548
1351	18689	119543
1352	18706	119552
1353	18722	119554
1354	18736	119539
1355	18750	119528
1356	18765	119520
1357	18777	119493
1358	18789	119472
1359	18803	119457
1360	18815	119433
1361	18828	119415
1362	18841	119395
1363	18856	119387
1364	18870	119375
1365	18884	119360
1366	18897	119343
1367	18909	119316
1368	18920	119286
1369	18934	119272
1370	18948	119259
1371	18962	119245
1372	18974	119223
1373	18987	119203
1374	19001	119192
1375	19015	119176
1376	19030	119169
1377	19043	119154
1378	19055	119127
1379	19069	119112
1380	19083	119099
1381	19096	119086
1382	19110	119071
1383	19122	119047
1384	19134	119020
1385	19147	119003
1386	19162	118995
1387	19176	118985
1388	19189	118965
1389	19200	118933
1390	19214	118919
1391	19229	118911
1392	19242	118895
1393	19256	118882
1394	19268	118856
1395	19281	118839
1396	19294	118820
1397	19308	118807
1398	19322	118793
1399	19334	118767
1400	19348	118756
1401	19361	118739
1402	19375	118725
1403	19387	118700
1404	19399	118677
1405	19413	118662
1406	19426	118641
1407	19440	118630
1408	19452	118603
1409	19464	118579
1410	19479	118572
1411	19493	118564
1412	19506	118545
1413	19521	118539
1414	19534	118517
1415	19546	118494
1416	19560	118480
1417	19572	118458
1418	19585	118440
1419	19597	118415
1420	19611	118400
1421	19625	118387
1422	19638	118368
1423	19649	118339
1424	19662	118322
1425	19675	118302
1426	19689	118286
1427	19702	118272
1428	19713	118242
1429	19726	118220
1430	19739	118202
1431	19753	118191
1432	19765	118168
1433	19778	118147
1434	19792	118134
1435	19804	118112
1436	19818	118098
1437	19832	118084
1438	19843	118055
1439	19857	118039
1440	19871	118029
1441	19884	118010
1442	19895	117978
1443	19908	117962
1444	19922	117949
1445	19936	117937
1446	19950	117924
1447	19961	117896
1448	19974	117877
1449	19986	117853
1450	20000	117838
1451	20014	117825
1452	20025	117795
1453	20040	117789
1454	20053	117773
1455	20067	117760
1456	20080	117739
1457	20092	117716
1458	20106	117705
1459	20119	117683
1460	20133	117672
1461	20147	117657
1462	20158	117628
1463	20171	117611
1464	20185	117597
1465	20198	117583
1466	20213	117575
1467	20231	117582
1468	20246	117581
1469	20258	117555
1470	20272	117540
1471	20285	117525
1472	20298	117503
1473	20312	117491
1474	20324	117466
1475	20336	117447
1476	20350	117433
1477	20364	117421
1478	20377	117400
1479	20387	117368
1480	20401	117352
1481	20414	117336
1482	20427	117319
1483	20438	117284
1484	20451	117271
1485	20466	117259
1486	20481	117256
1487	20494	117237
1488	20509	117231
1489	20522	117212
1490	20535	117191
1491	20547	117171
1492	20562	117162
1493	20575	117147
1494	20588	117126
1495	20601	117107
1496	20617	117107
1497	20633	117107
1498	20649	117106
1499	20665	117103
1500	20679	117094
1501	20694	117083
1502	20711	117092
1503	20728	117094
1504	20744	117093
1505	20758	117078
1506	20773	117075
1507	20786	117056
1508	20798	117031
1509	20811	117015
1510	20825	117002
1511	20839	116986
1512	20850	116958
1513	20864	116946
1514	20878	116931
1515	20890	116912
1516	20904	116896
1517	20915	116868
1518	20930	116858
1519	20942	116839
1520	20957	116828
1521	20968	116800
1522	20979	116771
1523	20993	116760
1524	21007	116746
1525	21022	116739
1526	21036	116724
1527	21046	116692
1528	21060	116680
1529	21073	116663
1530	21088	116652
1531	21102	116643
1532	21114	116617
1533	21127	116601
1534	21140	116582
1535	21153	116566
1536	21168	116559
1537	21188	116577
1538	21206	116587
1539	21222	116584
1540	21238	116583
1541	21251	116567
1542	21263	116545
1543	21276	116522
1544	21290	116510
1545	21303	116496
1546	21318	116485
1547	21330	116463
1548	21342	116439
1549	21355	116424
1550	21369	116410
1551	21383	116395
1552	21397	116381
1553	21408	116353
1554	21423	116347
1555	21435	116326
1556	21449	116310
1557	21462	116293
1558	21473	116268
1559	21488	116260
1560	21502	116245
1561	21515	116227
1562	21525	116195
1563	21539	116182
1564	21553	116167
1565	21566	116149
1566	21580	116136
1567	21591	116109
1568	21603	116085
1569	21617	116071
1570	21631	116062
1571	21647	116058
1572	21665	116066
1573	21679	116054
1574	21690	116028
1575	21706	116026
1576	21726	116046
1577	21740	116034
1578	21765	116079
1579	21782	116084
1580	21802	116099
1581	21829	116158
1582	21844	116150
1583	21855	116122
1584	21870	116115
1585	21883	116094
1586	21897	116084
1587	21911	116071
1588	21922	116042
1589	21936	116027
1590	21950	116013
1591	21962	115995
1592	21976	115982
1593	21988	115958
1594	22001	115939
1595	22015	115927
1596	22029	115911
1597	22040	115887
1598	22053	115864
1599	22066	115847
1600	22079	115829
1601	22095	115828
1602	22108	115810
1603	22119	115780
1604	22133	115769
1605	22147	115757
1606	22161	115742
1607	22175	115730
1608	22190	115726
1609	22206	115722
1610	22229	115754
1611	22251	115784
1612	22267	115782
1613	22282	115773
1614	22297	115766
1615	22311	115755
1616	22327	115753
1617	22341	115738
1618	22357	115737
1619	22370	115717
1620	22381	115693
1621	22395	115675
1622	22408	115660
1623	22423	115651
1624	22434	115622
1625	22447	115605
1626	22461	115592
1627	22475	115577
1628	22489	115567
1629	22500	115537
1630	22513	115522
1631	22537	115561
1632	22548	115533
1633	22563	115522
1634	22577	115510
1635	22592	115502
1636	22606	115492
1637	22619	115471
1638	22630	115446
1639	22643	115427
1640	22657	115411
1641	22670	115396
1642	22683	115380
1643	22694	115352
1644	22707	115330
1645	22720	115312
1646	22734	115302
1647	22746	115279
1648	22761	115268
1649	22774	115255
1650	22787	115235
1651	22800	115215
1652	22810	115184
1653	22824	115171
1654	22838	115157
1655	22852	115145
1656	22865	115127
1657	22879	115113
1658	22891	115094
1659	22907	115088
1660	22921	115074
1661	22934	115060
1662	22948	115046
1663	22959	115020
